# fibre radius = 1.5 arcsecs
# spax_num Xcoord Ycoord
1 -6.23 -17.92
2 -2.08 -17.92
3  2.08 -17.92
4  6.23 -17.92
5 10.38 -17.92
6 14.54 -17.92
7 18.69 -17.92
8 50.00  53.00
9 -8.31 -14.33
10 -4.15 -14.33
11  0.00 -14.33
12  4.15 -14.33
13  8.31 -14.33
14 12.46 -14.33
15 16.62 -14.33
16 -6.23 -10.75
17 -2.08 -10.75
18  2.08 -10.75
19  6.23 -10.75
20 10.38 -10.75
21 14.54 -10.75
22 18.69 -10.75
24 -8.31  -7.17
25 -4.15  -7.17
26  0.00  -7.17
27  4.15  -7.17
29  8.31  -7.17
30 12.46  -7.17
31 16.62  -7.17
32 -42.00 48.00
33 -6.23  -3.58
34 -2.08  -3.58
35  2.08  -3.58
36  6.23  -3.58
37 10.38  -3.58
38 14.54  -3.58
39 18.69  -3.58
40 -4.15   0.00
41  0.00   0.00
42  4.15   0.00
43  8.31   0.00
44 12.46   0.00
45 16.62   0.00
47 -6.23   3.58
48 -2.08   3.58
49  2.08   3.58
50  6.23   3.58
51 10.38   3.58
52 14.54   3.58
53 18.69   3.58
54 -8.31   7.17
55 -4.15   7.17
56  0.00   7.17
57  4.15   7.17
58  8.31   7.17
59 12.46   7.17
60 16.62   7.17
61 -6.23  10.75
62 -2.08  10.75
63  2.08  10.75
64  6.23  10.75
65 10.38  10.75
66 14.54  10.75
67 18.69  10.75
68 48.00 -49.00
69 -8.31  14.33
70 -4.15  14.33
71  0.00  14.33
72  4.15  14.33
73  8.31  14.33
74 12.46  14.33
75 16.62  14.33
76 -6.23  17.92
77 -2.08  17.92
78  2.08  17.92
79  6.23  17.92
80 10.38  17.92
81 14.54  17.92
82 18.69  17.92
83 -8.31  21.50
84 -4.15  21.50
85  0.00  21.50
86  4.15  21.50
87  8.31  21.50
88 12.46  21.50
89 16.62  21.50
90 -43.00 -43.00
91 -6.23  25.08
92 -2.08  25.08
93  2.08  25.08
94  6.23  25.08
95 10.38  25.08
96 14.54  25.08
97 18.69  25.08


