# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 58
# Name = "GALEX NUV"
# Description = "Preliminary GALEX filter|From: David Schiminovich"
# UCD = ""
# Version = "1.0"
# DateCreated = 7/23/2003 11:43:23 AM
# DateModified = 7/24/2003 5:15:23 PM
# WavelengthMin = 1610
# WavelengthMax = 2900
# WavelengthEff = 2312.0326473577
# WavelengthScale = Linear
# EffectiveWidth = 730.020105381496
# Unit = 
# Wavelength Value
1575 0
1610 0.00339481001719832
1650 0.0144710000604391
1700 0.0245146006345749
1750 0.0332651995122433
1800 0.101905003190041
1850 0.175882995128632
1900 0.266918003559113
1950 0.333746999502182
2000 0.449256002902985
2050 0.471116006374359
2100 0.525960028171539
2150 0.594968974590302
2200 0.616576015949249
2250 0.5642169713974
2300 0.530627012252808
2350 0.476541012525558
2400 0.507319986820221
2450 0.534664988517761
2500 0.525098025798798
2550 0.51630699634552
2600 0.500710010528564
2650 0.45693901181221
2700 0.375874012708664
2750 0.248952999711037
2800 0.108306996524334
2850 0.0344824008643627
2900 0.0125374998897314
2950 0
