#  Analytical solution of Radius vs. Time for a collapsing hom sphere
#  nemoinp 0:pi:0.001 | tabmath - - "(%1+sin(%1))/(2*pi*sqrt(8/3)),0.5*(1+cos(%1))" all > iau25-tr.tab

#  Time    Radius
0 1 
0.000194924 1 
0.000389848 0.999999 
0.000584772 0.999998 
0.000779696 0.999996 
0.000974619 0.999994 
0.00116954 0.999991 
0.00136446 0.999988 
0.00155939 0.999984 
0.00175431 0.99998 
0.00194923 0.999975 
0.00214414 0.99997 
0.00233906 0.999964 
0.00253398 0.999958 
0.00272889 0.999951 
0.00292381 0.999944 
0.00311872 0.999936 
0.00331363 0.999928 
0.00350854 0.999919 
0.00370345 0.99991 
0.00389835 0.9999 
0.00409326 0.99989 
0.00428816 0.999879 
0.00448306 0.999868 
0.00467796 0.999856 
0.00487285 0.999844 
0.00506774 0.999831 
0.00526263 0.999818 
0.00545752 0.999804 
0.00565241 0.99979 
0.00584729 0.999775 
0.00604217 0.99976 
0.00623704 0.999744 
0.00643191 0.999728 
0.00662678 0.999711 
0.00682165 0.999694 
0.00701651 0.999676 
0.00721137 0.999658 
0.00740623 0.999639 
0.00760108 0.99962 
0.00779593 0.9996 
0.00799077 0.99958 
0.00818561 0.999559 
0.00838045 0.999538 
0.00857528 0.999516 
0.00877011 0.999494 
0.00896493 0.999471 
0.00915975 0.999448 
0.00935457 0.999424 
0.00954937 0.9994 
0.00974418 0.999375 
0.00993898 0.99935 
0.0101338 0.999324 
0.0103286 0.999298 
0.0105233 0.999271 
0.0107181 0.999244 
0.0109129 0.999216 
0.0111077 0.999188 
0.0113024 0.999159 
0.0114972 0.99913 
0.0116919 0.9991 
0.0118867 0.99907 
0.0120814 0.999039 
0.0122762 0.999008 
0.0124709 0.998976 
0.0126656 0.998944 
0.0128603 0.998911 
0.013055 0.998878 
0.0132497 0.998844 
0.0134444 0.99881 
0.0136391 0.998776 
0.0138338 0.99874 
0.0140285 0.998705 
0.0142231 0.998668 
0.0144178 0.998632 
0.0146125 0.998594 
0.0148071 0.998557 
0.0150017 0.998518 
0.0151964 0.99848 
0.015391 0.998441 
0.0155856 0.998401 
0.0157802 0.998361 
0.0159748 0.99832 
0.0161694 0.998279 
0.016364 0.998237 
0.0165586 0.998195 
0.0167532 0.998152 
0.0169477 0.998109 
0.0171423 0.998065 
0.0173368 0.998021 
0.0175313 0.997976 
0.0177259 0.997931 
0.0179204 0.997885 
0.0181149 0.997839 
0.0183094 0.997793 
0.0185039 0.997745 
0.0186984 0.997698 
0.0188928 0.99765 
0.0190873 0.997601 
0.0192817 0.997552 
0.0194762 0.997502 
0.0196706 0.997452 
0.019865 0.997401 
0.0200595 0.99735 
0.0202539 0.997298 
0.0204482 0.997246 
0.0206426 0.997194 
0.020837 0.99714 
0.0210314 0.997087 
0.0212257 0.997033 
0.0214201 0.996978 
0.0216144 0.996923 
0.0218087 0.996867 
0.022003 0.996811 
0.0221973 0.996755 
0.0223916 0.996697 
0.0225859 0.99664 
0.0227801 0.996582 
0.0229744 0.996523 
0.0231686 0.996464 
0.0233629 0.996404 
0.0235571 0.996344 
0.0237513 0.996284 
0.0239455 0.996223 
0.0241397 0.996161 
0.0243338 0.996099 
0.024528 0.996036 
0.0247221 0.995973 
0.0249163 0.99591 
0.0251104 0.995846 
0.0253045 0.995781 
0.0254986 0.995716 
0.0256927 0.99565 
0.0258867 0.995584 
0.0260808 0.995518 
0.0262748 0.995451 
0.0264689 0.995383 
0.0266629 0.995315 
0.0268569 0.995247 
0.0270509 0.995178 
0.0272449 0.995108 
0.0274388 0.995038 
0.0276328 0.994967 
0.0278267 0.994896 
0.0280206 0.994825 
0.0282145 0.994753 
0.0284084 0.99468 
0.0286023 0.994607 
0.0287962 0.994534 
0.02899 0.99446 
0.0291839 0.994386 
0.0293777 0.994311 
0.0295715 0.994235 
0.0297653 0.994159 
0.0299591 0.994083 
0.0301528 0.994006 
0.0303466 0.993928 
0.0305403 0.99385 
0.030734 0.993772 
0.0309277 0.993693 
0.0311214 0.993614 
0.0313151 0.993534 
0.0315088 0.993453 
0.0317024 0.993372 
0.031896 0.993291 
