  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -3.00000  M, rc, sigma, rhocen =     1.000000000    0.333000000    0.899254921    5.222877319     b =
        0.00000
     0.000000000    5.222877319    0.000000000   -2.425978240   -0.425682918    0.624619318    0.623956549    0.624582809
     0.047366522    5.025545318    0.002271817   -2.401718457   -0.410768080    0.605096359    0.605480480    0.605156414
     0.067378055    4.834691802    0.006388734   -2.377458675   -0.396317991    0.586304966    0.586104183    0.586304156
     0.083007265    4.650121465    0.011669366   -2.353198893   -0.382316411    0.568058620    0.568305142    0.568009066
     0.096417940    4.471645399    0.017862810   -2.328939110   -0.368752622    0.550234118    0.550296009    0.550254678
     0.108444103    4.299080925    0.024820345   -2.304679328   -0.355614344    0.533021389    0.533036735    0.533025011
     0.119511780    4.132249676    0.032439269   -2.280419545   -0.342886559    0.516315401    0.516127308    0.516304558
     0.129873243    3.970978129    0.040642528   -2.256159763   -0.330559364    0.500052302    0.499720608    0.500078269
     0.139692482    3.815099595    0.049369186   -2.231899981   -0.318619794    0.484338803    0.484280787    0.484331540
     0.149083250    3.664451028    0.058569250   -2.207640198   -0.307055994    0.469053412    0.468570806    0.469050196
     0.158128345    3.518873973    0.068200589   -2.183380416   -0.295857836    0.454224387    0.454306604    0.454220485
     0.166890332    3.378215732    0.078226951   -2.159120633   -0.285013571    0.439847061    0.439973456    0.439829057
     0.175417923    3.242326944    0.088616632   -2.134860851   -0.274513389    0.425872760    0.426189803    0.425862961
     0.183749999    3.111064052    0.099341528   -2.110601069   -0.264347199    0.412295600    0.412344832    0.412309625
     0.191918253    2.984286160    0.110376452   -2.086341286   -0.254505534    0.399145337    0.399448187    0.399156851
     0.199948985    2.861857323    0.121698621   -2.062081504   -0.244977648    0.386389883    0.386329301    0.386392800
     0.207864373    2.743645564    0.133287256   -2.037821721   -0.235754948    0.374019834    0.373972530    0.374005984
     0.215683385    2.629522688    0.145123277   -2.013561939   -0.226827556    0.361997587    0.361908178    0.361985253
     0.223422447    2.519364538    0.157189056   -1.989302157   -0.218188311    0.350305789    0.350208215    0.350319789
     0.231095955    2.413050100    0.169468217   -1.965042374   -0.209827933    0.338977366    0.338734174    0.338999091
     0.238716661    2.310462121    0.181945470   -1.940782592   -0.201738192    0.328030352    0.328030093    0.328012970
     0.246295973    2.211486977    0.194606481   -1.916522809   -0.193909847    0.317354962    0.317041686    0.317351539
     0.253844195    2.116014596    0.207437750   -1.892263027   -0.186337690    0.306998346    0.307212016    0.307005200
     0.261370713    2.023936957    0.220426523   -1.868003245   -0.179011796    0.296966272    0.297044215    0.296964642
     0.268884153    1.935150797    0.233560702   -1.843743462   -0.171926796    0.287208674    0.286959107    0.287220827
     0.276392506    1.849554878    0.246828778   -1.819483680   -0.165073902    0.277779258    0.277761849    0.277764986
     0.283903229    1.767051135    0.260219768   -1.795223897   -0.158447121    0.268590461    0.268807058    0.268588607
     0.291423334    1.687544258    0.273723156   -1.770964115   -0.152039631    0.259695906    0.259748372    0.259683430
     0.298959459    1.610942171    0.287328853   -1.746704333   -0.145844959    0.251027660    0.250912191    0.251041442
     0.306517935    1.537155129    0.301027148   -1.722444550   -0.139857550    0.242647294    0.242511334    0.242654863
     0.314104832    1.466096016    0.314808672   -1.698184768   -0.134069771    0.234520022    0.234393277    0.234516144
     0.321726014    1.397680557    0.328664363   -1.673924985   -0.128476860    0.226625295    0.226908214    0.226617962
     0.329387173    1.331826420    0.342585437   -1.649665203   -0.123072262    0.218946765    0.218702300    0.218953205
     0.337093867    1.268454273    0.356563357   -1.625405421   -0.117851815    0.211496202    0.211388840    0.211514977
     0.344851556    1.207486468    0.370589807   -1.601145638   -0.112808298    0.204325169    0.204353805    0.204296582
     0.352665624    1.148848131    0.384656671   -1.576885856   -0.107936998    0.197283821    0.197283788    0.197291522
     0.360541414    1.092466622    0.398756009   -1.552626073   -0.103234178    0.190489194    0.190495985    0.190493493
     0.368484246    1.038271012    0.412880036   -1.528366291   -0.098692878    0.183900737    0.183986563    0.183896376
     0.376499442    0.986192559    0.427021104   -1.504106509   -0.094309894    0.177497817    0.177399008    0.177494234
     0.384592351    0.936164611    0.441171683   -1.479846726   -0.090079294    0.171276297    0.171428809    0.171281303
     0.392768365    0.888122499    0.455324344   -1.455586944   -0.085998147    0.165239719    0.165048547    0.165251992
     0.401032943    0.842003245    0.469471744   -1.431327161   -0.082060287    0.159406935    0.159296384    0.159400874
     0.409391627    0.797745886    0.483606609   -1.407067379   -0.078262523    0.153731022    0.153802526    0.153722683
     0.417850066    0.755291322    0.497721719   -1.382807597   -0.074600024    0.148215995    0.148192926    0.148212308
     0.426414032    0.714581462    0.511809896   -1.358547814   -0.071069891    0.142856310    0.142994255    0.142864789
     0.435089441    0.675561146    0.525863987   -1.334288032   -0.067667203    0.137681442    0.137654470    0.137675313
     0.443882373    0.638175465    0.539876852   -1.310028249   -0.064388621    0.132633497    0.132662131    0.132639210
     0.452799092    0.602372013    0.553841350   -1.285768467   -0.061230559    0.127749339    0.127739114    0.127751945
     0.461846066    0.568099576    0.567750330   -1.261508685   -0.058189059    0.123016016    0.123022355    0.123009122
     0.471029993    0.535308243    0.581596609   -1.237248902   -0.055260820    0.118413230    0.118499049    0.118406469
     0.480357818    0.503949937    0.595372969   -1.212989120   -0.052442648    0.113940612    0.113887092    0.113939846
     0.489836763    0.473977635    0.609072139   -1.188729338   -0.049731410    0.109599204    0.109685326    0.109605231
     0.499474348    0.445345814    0.622686785   -1.164469555   -0.047123860    0.105391695    0.105339436    0.105398724
     0.509278423    0.418010196    0.636209493   -1.140209773   -0.044616776    0.101317045    0.101332938    0.101316538
     0.519257192    0.391927571    0.649632763   -1.115949990   -0.042207023    0.097363322    0.097398776    0.097354998
     0.529419248    0.367056323    0.662948990   -1.091690208   -0.039891974    0.093505539    0.093505533    0.093510540
     0.539773604    0.343355772    0.676150457   -1.067430426   -0.037669114    0.089778971    0.089744550    0.089779703
