  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -5.00000  M, rc, sigma, rhocen =     1.000000000    0.204000000    0.761047656    9.967724277     b =
        2.45000
     0.000000000    9.967724277    0.000000000   -2.895967675   -0.784428409    1.231631843    1.231906750    1.542137878
     0.037544031    9.452027671    0.002140169   -2.867007999   -0.749590285    1.174746391    1.174607792    1.466416721
     0.053524996    8.961926093    0.006005800   -2.838048322   -0.716364484    1.120282329    1.120048193    1.394388528
     0.066089558    8.496169739    0.010947339   -2.809088645   -0.684679262    1.068407540    1.068589202    1.325873192
     0.076941933    8.053568552    0.016724004   -2.780128968   -0.654458040    1.019119450    1.019195709    1.260699388
     0.086738067    7.632991676    0.023192712   -2.751169292   -0.625630051    0.972159153    0.971945442    1.198704149
     0.095812739    7.233361417    0.030254650   -2.722209615   -0.598130734    0.927320001    0.927223656    1.139732452
     0.104364140    6.853654790    0.037835842   -2.693249938   -0.571899329    0.884650805    0.884699789    1.083636839
     0.112521155    6.492897966    0.045878011   -2.664290261   -0.546872554    0.844030386    0.843891653    1.030277042
     0.120373294    6.150163507    0.054333618   -2.635330585   -0.522995621    0.805276131    0.805826928    0.979519633
     0.127985841    5.824570957    0.063162883   -2.606370908   -0.500213079    0.768428179    0.768239305    0.931237691
     0.135408271    5.515281137    0.072331872   -2.577411231   -0.478472563    0.733257856    0.732577943    0.885310488
     0.142679265    5.221497727    0.081811194   -2.548451554   -0.457727314    0.699739278    0.699383345    0.841623181
     0.149829855    4.942461174    0.091575085   -2.519491878   -0.437928299    0.667859277    0.668279739    0.800066529
     0.156885500    4.677450265    0.101600734   -2.490532201   -0.419031021    0.637462230    0.637820735    0.760536619
     0.163867493    4.425778473    0.111867779   -2.461572524   -0.400993286    0.608475364    0.608539913    0.722934605
     0.170793955    4.186792669    0.122357912   -2.432612847   -0.383775692    0.580817500    0.580413552    0.687166463
     0.177680548    3.959872460    0.133054575   -2.403653171   -0.367339369    0.554541845    0.554556981    0.653142754
     0.184541004    3.744425736    0.143942717   -2.374693494   -0.351645195    0.529487694    0.529424998    0.620778401
     0.191387522    3.539891155    0.155008588   -2.345733817   -0.336661114    0.505538809    0.505519811    0.589992476
     0.198231069    3.345734377    0.166239580   -2.316774140   -0.322353118    0.482791156    0.482749033    0.560707998
     0.205081625    3.161446023    0.177624086   -2.287814464   -0.308687915    0.461105066    0.461269043    0.532851741
     0.211948363    2.986542605    0.189151388   -2.258854787   -0.295636815    0.440392287    0.440505574    0.506354050
     0.218839804    2.820564397    0.200811555   -2.229895110   -0.283170731    0.420710032    0.420773840    0.481148666
     0.225763937    2.663072718    0.212595361   -2.200935433   -0.271261027    0.401911930    0.401945797    0.457172564
     0.232728322    2.513651816    0.224494210   -2.171975757   -0.259884017    0.383966856    0.384183018    0.434365790
     0.239740172    2.371905108    0.236500071   -2.143016080   -0.249013005    0.366944800    0.366739332    0.412671315
     0.246806426    2.237455770    0.248605428   -2.114056403   -0.238623736    0.350655738    0.350568907    0.392034892
     0.253933809    2.109945634    0.260803221   -2.085096726   -0.228695919    0.335126277    0.335038217    0.372404920
     0.261128881    1.989033211    0.273086806   -2.056137049   -0.219206091    0.320357991    0.320491635    0.353732313
     0.268398091    1.874394276    0.285449919   -2.027177373   -0.210134337    0.306279093    0.306292237    0.335970379
     0.275747807    1.765720109    0.297886632   -1.998217696   -0.201460312    0.292851935    0.293025007    0.319074705
     0.283184364    1.662717364    0.310391326   -1.969258019   -0.193166612    0.280039093    0.279937656    0.303003043
     0.290714090    1.565106649    0.322958659   -1.940298342   -0.185234709    0.267839499    0.267692685    0.287715205
     0.298343339    1.472622053    0.335583538   -1.911338666   -0.177648169    0.256194360    0.256244426    0.273172964
     0.306078522    1.385011068    0.348261096   -1.882378989   -0.170390674    0.245111042    0.245132529    0.259339956
     0.313926130    1.302033210    0.360986667   -1.853419312   -0.163446369    0.234558851    0.234509922    0.246181592
     0.321892768    1.223459575    0.373755761   -1.824459635   -0.156800703    0.224470181    0.224616837    0.233664969
     0.329985174    1.149072758    0.386564048   -1.795499959   -0.150440453    0.214873384    0.214671933    0.221758789
     0.338210249    1.078665540    0.399407336   -1.766540282   -0.144351010    0.205728823    0.205673156    0.210433280
     0.346575081    1.012041264    0.412281551   -1.737580605   -0.138520877    0.196987799    0.196884267    0.199660123
     0.355086971    0.949012369    0.425182722   -1.708620928   -0.132937364    0.188685929    0.188673806    0.189412378
     0.363753461    0.889400632    0.438106959   -1.679661252   -0.127588588    0.180769615    0.180844646    0.179664422
     0.372582360    0.833036472    0.451050442   -1.650701575   -0.122463724    0.173224279    0.173314454    0.170391880
     0.381581774    0.779758605    0.464009399   -1.621741898   -0.117552125    0.166033758    0.166031494    0.161571565
     0.390760134    0.729413518    0.476980093   -1.592782221   -0.112844035    0.159166512    0.159164084    0.153181422
     0.400126228    0.681855124    0.489958803   -1.563822545   -0.108330041    0.152637149    0.152626361    0.145200470
     0.409689234    0.636944566    0.502941811   -1.534862868   -0.104000235    0.146434617    0.146428101    0.137608755
     0.419458757    0.594549564    0.515925384   -1.505903191   -0.099846106    0.140494876    0.140526703    0.130387291
     0.429444865    0.554544464    0.528905757   -1.476943514   -0.095859986    0.134853159    0.134773149    0.123518023
     0.439658131    0.516809465    0.541879118   -1.447983838   -0.092032742    0.129496991    0.129525733    0.116983773
     0.450109676    0.481230808    0.554841591   -1.419024161   -0.088357288    0.124380767    0.124333333    0.110768202
     0.460811217    0.447700159    0.567789214   -1.390064484   -0.084826265    0.119515629    0.119606643    0.104855768
     0.471775118    0.416114348    0.580717929   -1.361104807   -0.081432792    0.114881259    0.114857456    0.099231686
     0.483014447    0.386375301    0.593623554   -1.332145131   -0.078170253    0.110471018    0.110452959    0.093881895
     0.494543037    0.358389781    0.606501772   -1.303185454   -0.075032186    0.106288312    0.106342868    0.088793016
     0.506375553    0.332068795    0.619348104   -1.274225777   -0.072012261    0.102296374    0.102338651    0.083952324
     0.518527568    0.307327919    0.632157889   -1.245266100   -0.069105170    0.098519454    0.098477183    0.079347716
     0.531015638    0.284086639    0.644926263   -1.216306424   -0.066304353    0.094921177    0.094883838    0.074967677
     0.543857400    0.262268465    0.657648131   -1.187346747   -0.063605785    0.091489889    0.091506913    0.070801255
     0.557071663    0.241800440    0.670318148   -1.158387070   -0.061003273    0.088270492    0.088290290    0.066838032
     0.570678526    0.222613254    0.682930682   -1.129427393   -0.058492026    0.085174324    0.085172941    0.063068097
     0.584699490    0.204640929    0.695479791   -1.100467717   -0.056068248    0.082262899    0.082270830    0.059482025
     0.599157604    0.187820500    0.707959191   -1.071508040   -0.053725849    0.079513338    0.079564261    0.056070847
     0.614077609    0.172092232    0.720362217   -1.042548363   -0.051461706    0.076886075    0.076876801    0.052826034
     0.629486111    0.157399109    0.732681795   -1.013588686   -0.049271236    0.074406059    0.074409512    0.049739473
     0.645411770    0.143686928    0.744910393   -0.984629010   -0.047150822    0.072064100    0.072057868    0.046803445
     0.661885516    0.130904043    0.757039987   -0.955669333   -0.045095957    0.069864374    0.069828276    0.044010609
     0.678940785    0.119001242    0.769062011   -0.926709656   -0.043103300    0.067770566    0.067764983    0.041353981
     0.696613800    0.107931702    0.780967304   -0.897749979   -0.041169393    0.065815295    0.065815970    0.038826919
     0.714943871    0.097650797    0.792746065   -0.868790303   -0.039290387    0.063956790    0.063988539    0.036423102
     0.733973753    0.088116051    0.804387790   -0.839830626   -0.037463937    0.062214268    0.062274939    0.034136522
     0.753750045    0.079286903    0.815881209   -0.810870949   -0.035685813    0.060592326    0.060644211    0.031961459
     0.774323647    0.071124808    0.827214222   -0.781911272   -0.033953616    0.059058694    0.059069988    0.029892475
     0.795750288    0.063592919    0.838373828   -0.752951596   -0.032264160    0.057629853    0.057669407    0.027924396
     0.818091134    0.056656210    0.849346042   -0.723991919   -0.030614834    0.056294094    0.056364052    0.026052302
     0.841413482    0.050281208    0.860115822   -0.695032242   -0.029002816    0.055043991    0.055151350    0.024271512
     0.865791582    0.044435994    0.870666976   -0.666072565   -0.027425856    0.053883506    0.053917578    0.022577571
     0.891307573    0.039090141    0.880982076   -0.637112889   -0.025881085    0.052809278    0.052786195    0.020966245
     0.918052599    0.034214562    0.891042363   -0.608153212   -0.024366409    0.051814627    0.051829869    0.019433504
