  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -7.00000  M, rc, sigma, rhocen =     1.000000000    0.103000000    0.737253897   36.693771317     b =
        9.70870
     0.000000000   36.693771317    0.000000000   -3.804803163   -1.914881024    1.041993223    1.041433811    5.900755930
     0.022489669   34.181272887    0.001675375   -3.766755132   -1.875220756    1.042362403    1.042762766    5.501464255
     0.032150522   31.839111674    0.004689454   -3.728707100   -1.835591166    1.040380562    1.039828732    5.129167165
     0.039808136   29.655772163    0.008526696   -3.690659069   -1.796082302    1.036000847    1.035374887    4.782039659
     0.046475961   27.620511960    0.012994718   -3.652611037   -1.756779405    1.029742580    1.029563110    4.458380118
     0.052543655   25.723317186    0.017979034   -3.614563005   -1.717743651    1.021851695    1.021271367    4.156601962
     0.058210097   23.954854150    0.023400719   -3.576514974   -1.679042969    1.012190260    1.011951721    3.875225874
     0.063593166   22.306415719    0.029200951   -3.538466942   -1.640736503    1.001224207    1.002047792    3.612872549
     0.068769726   20.769883909    0.035333710   -3.500418910   -1.602867845    0.989146685    0.989355060    3.368255930
     0.073793383   19.337692338    0.041761794   -3.462370879   -1.565481605    0.975865144    0.976313219    3.140176906
     0.078703469   18.002783816    0.048454419   -3.424322847   -1.528619509    0.961703712    0.960591474    2.927517434
     0.083530038   16.758579601    0.055385669   -3.386274815   -1.492308814    0.946826713    0.947003414    2.729235056
     0.088296821   15.598943851    0.062533436   -3.348226784   -1.456580408    0.931107244    0.931873568    2.544357792
     0.093023105   14.518156851    0.069878675   -3.310178752   -1.421460767    0.914950244    0.914686920    2.371979374
     0.097724947   13.510885739    0.077404845   -3.272130721   -1.386963061    0.898259908    0.897252853    2.211254803
     0.102416017   12.572157540    0.085097496   -3.234082689   -1.353113805    0.881011257    0.880264890    2.061396205
     0.107108181   11.697336459    0.092943948   -3.196034657   -1.319922192    0.863713706    0.863587499    1.921668975
     0.111811930   10.882098139    0.100933031   -3.157986626   -1.287392428    0.846113757    0.845764537    1.791388170
     0.116536688   10.122412915    0.109054884   -3.119938594   -1.255541130    0.828130360    0.827425417    1.669915152
     0.121291057    9.414522361    0.117300791   -3.081890562   -1.224373976    0.810225151    0.809955622    1.556654460
     0.126082994    8.754921261    0.125663038   -3.043842531   -1.193886524    0.792293242    0.792740511    1.451050892
     0.130919956    8.140342784    0.134134805   -3.005794499   -1.164086169    0.774157112    0.773923305    1.352586777
     0.135809017    7.567740600    0.142710065   -2.967746468   -1.134974254    0.756175582    0.756994548    1.260779445
     0.140756960    7.034273616    0.151383503   -2.929698436   -1.106543414    0.738254784    0.738181728    1.175178856
     0.145770353    6.537293966    0.160150447   -2.891650404   -1.078794568    0.720444648    0.720166337    1.095365395
