  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -7.00000  M, rc, sigma, rhocen =     1.000000000    0.103000000    0.737253884   36.693770033     b =
        0.00000
     0.000000000   36.693770033    0.000000000   -3.804803030   -3.186822972    5.900424152    5.899415852    5.900755972
     0.022489669   34.181272882    0.001675375   -3.766755000   -2.970000208    5.501382412    5.501265033    5.501464294
     0.032150522   31.839111249    0.004689454   -3.728706970   -2.767847939    5.129267498    5.128846329    5.129167201
     0.039808136   29.655770766    0.008526696   -3.690658939   -2.579366894    4.782089195    4.781416119    4.782039693
     0.046475961   27.620511099    0.012994718   -3.652610909   -2.403653564    4.458267607    4.458294682    4.458380149
     0.052543655   25.723316908    0.017979033   -3.614562879   -2.239828003    4.156703864    4.155437370    4.156601991
     0.058210096   23.954853099    0.023400718   -3.576514849   -2.087089950    3.875232443    3.874442141    3.875225902
     0.063593166   22.306415410    0.029200950   -3.538466818   -1.944696216    3.612831446    3.612830596    3.612872574
     0.068769726   20.769883610    0.035333709   -3.500418788   -1.811940997    3.368306175    3.368381805    3.368255954
     0.073793382   19.337691752    0.041761793   -3.462370758   -1.688173409    3.140179358    3.140003006    3.140176928
     0.078703469   18.002782740    0.048454418   -3.424322727   -1.572790425    2.927450974    2.926665812    2.927517454
     0.083530037   16.758579030    0.055385667   -3.386274697   -1.465221497    2.729264070    2.729451567    2.729235075
     0.088296821   15.598943657    0.062533434   -3.348226667   -1.364935735    2.544358746    2.544886226    2.544357810
     0.093023105   14.518156320    0.069878672   -3.310178636   -1.271447078    2.371969838    2.371814910    2.371979391
     0.097724947   13.510885494    0.077404842   -3.272130606   -1.184289710    2.211287055    2.210825855    2.211254818
     0.102416017   12.572157532    0.085097493   -3.234082576   -1.103040461    2.061357828    2.061015796    2.061396220
     0.107108181   11.697336082    0.092943944   -3.196034546   -1.027298485    1.921679943    1.921685467    1.921668989
     0.111811929   10.882097583    0.100933027   -3.157986515   -0.956688933    1.791404963    1.791458682    1.791388182
     0.116536688   10.122412814    0.109054880   -3.119938485   -0.890868304    1.669907303    1.669805107    1.669915163
     0.121291057    9.414522206    0.117300786   -3.081890455   -0.829511058    1.556649878    1.556360573    1.556654471
     0.126082994    8.754920949    0.125663033   -3.043842424   -0.772316150    1.451058904    1.451370547    1.451050902
     0.130919955    8.140342309    0.134134800   -3.005794394   -0.719000779    1.352596754    1.352481224    1.352586786
     0.135809016    7.567740340    0.142710059   -2.967746364   -0.669304748    1.260767048    1.260938271    1.260779454
     0.140756959    7.034273541    0.151383497   -2.929698333   -0.622982163    1.175182855    1.175052899    1.175178864
     0.145770353    6.537293917    0.160150441   -2.891650303   -0.579804782    1.095368740    1.095137539    1.095365403
